职业类型,职业名称,薪资,地址,资历,学历要求,职业类型,职业简介,公司名称,公司规模,公司类型,时间
系统工程师,系统工程师,15-30K·14薪,合肥,10年以上,硕士,电子/硬件系统工程师,"岗位职责：
1、负责为对外售前沟通提供技术支撑，根据客户需求提供技术解决方案，并根据解决方案进行成本评估；
2、负责为市场工作提供技术支持，编写课题申报材料和招标文件材料的技术部分内容；
3、负责根据公司技术发展，为公司产品提供解决方案；
4、负责为公司项目开发提供设计支撑，制定产品设计解决方案；
5、负责开展公司专业技术状态管理工作；
6、负责开展公司产品状态管理工作；
7、有软件、硬件、结构相关经验。
任职要求：
1、计算机、通信、电子信息等相关专业，硕士及以上学历；
2、能够与需求提出方进行需求沟通，开展技术引导和分析，根据需求编制技术解决方案；
3、具备编写课题申报材料和招标文件材料的经验和能力；
4、具备计算机、通信等相关设备级产品的设计研发经验；
5、具备优秀的与外部客户沟通能力；
6、具备良好的沟通表达和协调能力；
7、具备较强的抗压能力；
8、有军工行业从业经验者优先。",国科天迅,100-499人,通信/网络设备,2024上半年
系统工程师,系统工程师,12-15K,东莞,5-10年,大专,空气能热泵,"1.负责新产品的系统设计;
2.懂空气能系统，解决不合理问题，优化系统；
专业要求:
1.本科级以上学历(经验丰富可适当放宽);暖通，制冷等相关专业;
2.有五年以上空调.热泵行业经验;
3.熟练使用CAD等绘图软件;
4.具有丰富的空气能热泵系统设计经验;",欧冠,0-20人,新能源,2024上半年
系统工程师,系统集成工程师,5-7K,长沙,1-3年,大专,"安防系统
弱电系统
音视频系统","1、 计算机应用、通信相关专业大专及以上学历；
2、 两年以上弱电工程系统集成等项目设计、标书制作、熟悉CAD等；
3、 熟悉智能化各子系统框架，熟悉各主流网络设备、视频监控设备等硬件的配置和调试、能进行方案优化设计，有良好的成本管控能力；
4、 有较强的服务意识、高度的责任心，较强的客户沟通能力；
5、 熟练运用Office、AutoCAD等相关软件及其他专业软件。",中航科技,0-20人,通信/网络设备,2024上半年
系统工程师,U9开发工程师,8-12K,佛山,3-5年,大专,计算机/网络系统工程师,"岗位职责：
1、负责企业ERP（U9）系统的需求分析、系统设计和开发工作；
2、负责财务系统的实施、业务需求调研、开发、交付；
3、负责企业其他配套系统的需求调研、系统实施、技术支持和需求开发工作；
4、相关技术文档、用户文档的编写和整理；
5、领导交办的其他工作；
岗位要求：
1、熟悉U9报表开发，3年以上U9开发经验，有财务模块的实施经验；
2、熟悉U9财务各模块和流程，熟悉成本、总账、应收、应付等模块运作流程；
3、具有ERP项目实施经验，能独立推动ERP系统的实施；
4、熟悉C#，熟悉SQL，Server，有Java/Android/Web开发经验更佳；
5、熟悉制造企业工厂流程；
6、良好的沟通能力和团队协作能力；",维宁科技,100-499人,家用电器,2024上半年
系统工程师,太阳能发电系统工程师,5-8K,杭州,3-5年,高中,"系统集成
系统设计
运维工程师
分布式技术
实施工程师
项目管理","职位要求：能熟练使用Word、Excel、CAD等软件，丰富的光伏系统安装经验，高中以上文化。
岗位职责：勘查现场、画设计图、做系统方案、算材料、带队安装、检查验收。看好太阳发电行业。
任职资格：能吃苦耐劳，喜欢学习，工作认真负责，积极主动，细心脾气好，服从指挥。",泰日科技,0-20人,新能源,2024上半年
系统工程师,弱电工程师,6-10K,上海,经验不限,学历不限,"IT支持
多媒体系统
音视频系统
弱电系统","1:  主要职责：配合项目经理、技术人员完成公司各类场馆互动项目的执行，配合项目经理制定各类项目进度计划和执行计划，配合技术人员制定电脑硬件、AV设备、网络设备及项目所涉及的各类软硬件设备实施计划，项目进入现场后进行各类硬件设备、软件功能的安装调试，项目完成后的维护工作。
2:  必备的素质：丰富的电脑软硬件知识、熟悉各类AV设备及网络硬件产品，熟悉各类设备的接口及连接方式和解决方案，吃苦耐劳。
3:  行业经验：具备IT行业从事设备安装、综合布线等项目经验2年以上为佳。
4: 福利待遇：五险一金、带薪休假、免费午餐、差旅补助。
5：激励措施：项目奖金！",绚晨展示科技,0-20人,广告/公关/会展,2024上半年
系统工程师,智能家居工程师,8-10K,常州,1-3年,本科,智能影音,智能灯光～背景音乐～私人影院～KTV～电动窗帘～网络覆盖～高清监控～安防系统～智能家居系统集成,金豪智能,0-20人,建筑材料,2024上半年
系统工程师,系统工程师,7-9K·13薪,温州,1-3年,大专,系统运维,"岗位职责：
1、负责公司ERP、OA、供应链等所有系统的维护和管理
2、负责公司系统的推广
3、负责编写系统说明、项目文档等
岗位要求：
1、大专以上学历，信息技术与科学等专业；
2、同岗位相关经验1年以上，逻辑思维强；
3、优秀应届毕业生可培养
上班时间：
单双休（大小周），上午9:00-12:00、下午13:30-18:00
薪资福利：
薪——
1、岗位薪资+绩效薪资+补贴+年终奖金+超额奖金；
2、高绩效员工每年可享受调薪机制。
享——
1、享受暖心补贴（住宿/交通/其他补贴）；
2、享受极具诱惑力的内购福利；
3、享受社保及按公司相关规定缴纳住房公积金；
事——
团队爱搞事（季度团建、暖心茶歇、主题paty）
成——
1、成就员工梦想，打造【合伙人】机制；
2、成就员工发展平台，扁平化发展，晋升机会多；
3、成熟的带教机制和健全的培训体系，打造学习型组织。",温州佩缇服饰有限公司,100-499人,服装/纺织,2024上半年
系统工程师,系统集成工程师,8-9K,杭州,5-10年,本科,"网络
系统运维
熟练使用CAD","1.工作内容，负责项目施工方案设计及工程管理。
2.技能要求，熟练使用CAD制作弱电工程走线图和施工图。熟悉弱电工程，综合布线、视频监控、无线网络、广播系统、道闸、访客系统、电子围栏。
3.优先条件，有工程项目管理者优先。杭州籍贯优先。",紫金星空,0-20人,音乐/视频/阅读,2024上半年
系统工程师,运维开发工程师,6-9K,漳州,3-5年,本科,"电子/硬件系统工程师
监控 网络 智能化系统集成设计","监控网络 基础设计
线路图布线
前端堪点设计",飞阳实业,0-20人,智能硬件,2024上半年
系统工程师,产品系统工程师,15-30K·13薪,上海,3-5年,本科,"嵌入式技术
Linux
Windows","产品工程师
一、岗位职责：
1.负责汽车电子相关产品的系统设计和开发；
2.根据客户的输入（SOR）及及公司开发工作流程，完成相关产品系统设计工作和文档；
3.负责与客户进行技术沟通，获取、分析、澄清以及明确客户产品设计需求；同时负责内部设计团队的技术沟通以确保满足客户要求；
4.对客户进行技术支持并协调内部设计团队处理客户技术问题；
5.制定系统开发计划； 编写系统需求规范文档；
6.管理、跟踪设计过程中的产品需求更改，包括但不限于客户更改；
7.协调解决设计过程中的系统问题；
8.编写系统测试规范，执行系统测试并分析测试结果；
9.支持客户整车系统级测试；
10.支持软件、硬件、机械设计与开发；
11.支持产品功能测试、试验以及生产；
12.公司或领导安排其它工作；
二、岗位要求
1.本科以上学历，硕士优先，电子或自动化相关专业；
2.具备一定的汽车电子及整车知识；
3.具备基础的硬件、软件和机械设计知识。
4.熟悉整车总线技术，如 CAN、LIN等
5.较强的交流沟通能力和团队合作意识；
6.具有工作任务安排技能，工作积极主动、思路清晰、有责任感；
7.3年以上汽车电子行业开发经验，2年以上座舱控制模块类产品、域控制器类产品系统开发经验优先
8.较强的英语阅读和写作能力；
9.有驾照者优先；",温州长江汽车电子...,1000-9999人,汽车零部件,2024上半年
系统工程师,高级系统工程师,25-50K·16薪,上海,5-10年,硕士,"电子/硬件系统工程师
公差分配
故障诊断","岗位职责:
1.	深刻理解fab厂先进制程对某前道量测设备的需求，将需求转换为整机层面的系统功能定义及指标分配，带领工程师团队完成设备和配套软件开发（包括产品的概念设计，样机组装调试，样机的性能验证），最终为客户提供全套解决方案；
2.	遵循divide-and-conquer策略，将复杂设备划分为子系统 / 模块 / 部件，尽量保证相互之间的解耦关系，并负责上述各层级的功能、接口和指标；
3.	负责系统级别的功能和性能测试，收集海量数据，综合采用物理建模 / 数学建模 / 统计分析等手段，一方面从数据中提炼出系统性能，另一方面尝试暴露各方面的问题，并找到问题的源头，进而提出妥善的解决方案；
4.	基于对行业以及应用的深刻理解和相关技术发展方向，与技术支持 & 生产 & 工程师团队 & 市场团队紧密配合，制定未来的roadmap，并推进相关预研；
5.	负责生产部门和客户现场L4 escalations，解决技术支持团队短期无法攻克的难题；
6.	与项目经理紧密配合，创建并管理项目进度；
7.	撰写 & 评审系统设计需求、系统测试方案、系统测试报告等文档。
职位要求：
1.	光学 / 精密仪器 / 电子 / 机械或相关专业的工学硕士/工学博士
2.	至少掌握两门不同类别的专业技能（如光学 + 机械，光学属于必选项），可以做到跨学科无障碍沟通；
3.	5年以上前道半导体设备开发经验，量测设备开发经验优先；
4.	2年以上复杂项目管理和团队管理经验；
5.	熟练使用excel / jmp / R / matlab进行数据分析；
6.	对新技术永远保持强烈的好奇心；
7.	良好的沟通协调能力以及团队合作精神；
8.	独立工作以及思考问题的能力；
9.	逻辑清晰，文笔流畅；
10.	英语六级或以上。",上海埃瑞微,20-99人,仪器仪表,2024上半年
系统工程师,持续集成工程师（OD）,15-30K,杭州,1-3年,本科,"Python
Shell
容器技术
Windows
Linux
K8S
Docker
Jenkins","【岗位职责】：
为华为自研MindSpore框架提供持续集成与版本管理能力，主要包括：
1. 建立和持续改善研发管理全流程体系，提供流程，工具，方法等方面的支持。
2. 搭建软件版本管理工程，参与版本管理体系建设。
3. 负责组织级持续集成，部署和发布体系建设。
4. 负责持续交付流水线工具链集成设计和研发工作。
岗位要求：
1. 熟练掌握CI，CD，CM工具链的维护和配置，例如Gitlab, Jenkins 等源代码管理及持续集成工具；
2. 熟悉 Linux/Windows 系统及常用命令，熟练掌握Python、shell、批处理命令脚本编程语言；
3. 熟悉Java/C#/C++编译构建工具，了解他们的构建过程
4. 了解 K8S，Docker ；
5. 良好的沟通能力和责任感，能够承担工作压力，独立分析和解决问题",华为企业通信,10000人以上,计算机软件,2024上半年
系统工程师,系统工程师,25-35K·14薪,常州,3-5年,本科,电子/硬件系统工程师,"1、负责电池储能系统的集成设计与开发工作；
2、负责指导储能集成产品电气布局、结构设计、电气设计等工作，形成储能系统集成产品生产图纸、物料清单及相关生产指导文件；
3、负责储能项目可行性分析报告及配置方案等；
5、负责储能集成系统的可靠性的评估和优化设计；
6、分析竞品之间以及不同系统集成方案之间的优劣势，主导并推进集成系统的核心指标优化和提。
任职要求：
1、本科及以上学历，电化学，电力电子，电气工程等相关专业；
2、熟悉电化学储能业务，具备储能系统设计和开发经验及储能系统集成设计能力；
3、精通储能系统组成及方案，精通BMS、PCS与EMS相关技术；
4、具备电气系统集成经验，能够根据客户要求或开发计划，推动储能集成系统的结构和电气设计；
5、熟练使用办公软件，word， excel，PPT，画图软件CAD等。
其他信息",万帮数字能源,1000-9999人,其他新能源,2024上半年
系统工程师,总体工程师,20-40K·13薪,成都,经验不限,硕士,系统总体,"岗位职责：
	1）负责复杂电磁模拟、通信电子对抗类产品及项目的可行性分析论证、方案设计及技术攻关；
	2）负责系统级产品或项目的需求分析和方案论证；
	3）负责撰写系统总体方案设计及分系统研制任务书；
	4）负责指导分系统和关键模块的软硬件详细设计；
5）负责组织解决产品和项目研发中的关键技术问题。
岗位要求：
	1）电子、信息类相关专业，硕士及以上学历；
	2）3年以上军工或电子测量仪器行业相关工作经验；
	3）具备通信对抗系统、仪器仪表系统等电子信息系统的论证和方案设计经验，具有扎实的理论基础和丰富的工程实践经验；
	4）深入理解掌握复杂电磁模拟系统、通信对抗系统的知识；
	5）具有很强的责任心、执行力和解决问题能力，良好的组织沟通能力；
	6）具有产品或型号系统设计经验者优先。",玖锦科技,100-499人,通信/网络设备,2024上半年
系统工程师,储能系统工程师,12-20K,湖州,3-5年,大专,汽车热管理,"任职要求：
1、负责储能系统集成设计开发工作(集装箱式，户外机柜式等)，包括设计标准的规范和定义及相关器件选型，包括集装箱，空调，消防，电池，PCS，配电，监控系统，EMS 系统等。
2、负责验证集成产品排布、结构设计、散热设计、EMS等相关功能的合理性，分析与竞品的优劣势等。
3、负责对电池模组、电池架、电气柜、热设计、集装箱设计的合理性评估，保证产品的可靠性，安全性，及可生产性。
4、能独立完成储能技术应答，投标方案设计、预算及报价、项目跟踪总结。
岗位要求：
1.熟悉新能源发电.储能系统产品，熟悉PCS.BMS.EMS等产品及其控制逻辑；
2.熟悉工商业储能和大型储能系统架构；
3.熟悉储能.智能电网，有储能系统集成,电池储能项目相关经验；
4.熟悉储能系统的标准和安全规范；",曼汇科技,20-99人,汽车零部件,2024上半年
系统工程师,系统集成,3-8K,烟台,经验不限,中专/中技,"IT技术支持
系统运维",负责公司产品的销售及推广，海康拼接屏，自有品牌拼接屏，全彩LED屏，清华同方会议平板，广告机查询机等商业显示的运作,烟台昊杰,0-20人,智能硬件,2024上半年
系统工程师,弱电技术工程师或弱电项目经理,10-15K·14薪,上海,经验不限,大专,"多媒体系统
IT系统
弱电系统
音视频系统","公司求聘IT弱电行业经验丰富售前技术工程师一名，支持销售进行项目前期咨询，规划及技术招投标等等工作。要求会AUTOCAD等相关软件，英语流利者佳，尤其对AV音视频了解更佳。待遇从优,其他面谈。",上海益平网络工程...,0-20人,通信/网络设备,2024上半年
系统工程师,售后维护工程师,3-6K,贺州,经验不限,学历不限,计算机/网络系统工程师,视频监控系统的前端视频监控设备及监控平台设备的维保工作，包括系统设备的日常维护、巡检、应急保障。,恒扬网络科技有限公司,0-20人,信息安全,2024上半年
系统工程师,空调系统工程师,6-8K·13薪,江门,经验不限,本科,"性能设计
空调
系统设计","任职要求：
1. 本科，制冷，暖通，材料成型或机械等工科专业。
2. 1年以上空调产品设计或相关经验。应届毕业生亦可。
3. 熟练使用Office 办公软件及Auto CAD，Pro/E等作图软件。
4. 有较强的团队合作精神。",三菱重工金羚,500-999人,家具/家电/家居,2024上半年
系统管理员,bom管理员,5-6K·13薪,重庆,1-3年,中专/中技,五险,"BOM管理员工作职责
1. 物料编码规则和新料号分配规则,日常物料编号的管理，公司BOM资料的物料统一规范和具体落实。
2. 对工程变更进行评估，并同步更新到对应的BOM；
3. 新旧产品BOM的编制、维护、更新，确保BOM的及时性和准确性；
4. 支持采购、生产过程对数据的需求，确保投产文件及版本等信息准确
5. 负责根据物料计划实际需求，跟进电子料物料的到料及供我双方的库存可视化；
6.BOM相关文件资料整理。
任职要求：
1.中专以上学历，成熟稳重、细心负责、沟通能力强；
2.接受过ERP系统，BOM构建操作方法的培训，有相应的实战经验；
3.诚实稳重，工作积极主动，结果导向，有较强的解决问题的能力；
4.有较强的团队合作意识，有职业化的工作习惯，良好的沟通协调能力；
5.熟练使用EXCEL及办公软件；要求工作细心、沉稳、对数字反应较敏锐。
6.有一定摩托车整车知识优先",重庆爱捷思铂摩托车,0-20人,进出口贸易,2024上半年
系统管理员,系统管理员,3-4K,太原,1-3年,大专,"信息系统管理
教务系统管理
应用系统管理","1.负责系统对接、运营、维护
2.负责用户培训、各角色培训
3.使用过程中随机发现问题，反馈问题
4.公众号的整理及发布",桔登健康管理学校,0-20人,培训/辅导机构,2024上半年
系统管理员,oa系统管理员,9-14K·15薪,上海,1-3年,本科,"MySQL/Oracle
计算机相关专业
IT系统维护管理经验
OA/邮件/CRM运维管理经验","【岗位职责】
1. 系统管理（业务管理）：
负责公司数字办公系统/OA系统的实施工作：熟练掌握集团数字办公各模块的表单、流程、用户及权限管理、功能设置等操作；
2. 项目管理：
负责办公协同各类系统建设项目管理，监督、控制项目的需求、开发、质量保证、验收等过程的实施，确保目标达成；
3. 系统落地：
负责撰写集团数字办公系统用户使用手册及培训方案，对用户进行操作培训，保证系统在全司普及率；
为集团数字办公系统（流程、标准、逻辑）功能分析提供数据支持，实现系统功能和用户满意度提升；
【岗位要求】
1. 本科以上学历，计算机、软件工程等相关专业；1-3年工作经验；
2. 了解数字办公系统/OA系统相关知识，培训后能熟练完成数字办公系统/OA系统的流程配置、流程优化、权限配置工作。有数字办公/OA项目(泛微OA、飞书、RPA等)实施、维护、技术支持经验优先；
3. 熟悉数据库；有Java经验优先；
4. 具备良好的信息安全风险意识及职业道德；具备较强逻辑思维能力及沟通协同能力。
【人才关键词】
IT服务、办公软件系统、数字化、管理员
【优先经历】
1. 办公软件厂商实施顾问/项目经理 （泛微、蓝凌、致远；钉钉、企微、飞书等）
3. 企业办公系统管理员",基煜基金,100-499人,互联网金融,2024上半年
系统管理员,erp专员,8-13K·13薪,厦门,3-5年,本科,"计算机相关专业
大数据运维经验
erp","岗位职责：
1.熟悉数据库语言，负责ERP系统异常数据维护；
2.负责ERP系统实施上线及相关各项准备工作；
3.负责系统功能培训，制作相关报表和培训课件；
4.负责ERP系统日常的维护和系统问题的收集、处理、反馈，对系统运行状态进行综合分析，提出优化意见；
任职资格：
1.计算机相关专业优先；
2.熟悉数据库语言，掌握oracle/sqlserver的基本语法；
3.熟练掌握office办公软件，能根据工作需要制作相关报表和课件；
4.良好的表达能力、沟通能力，能与开发、业务部门进行良好沟通；
5.能适应加班工作，能够承受较大的工作压力；
6.熟悉医药行业、英克系统、金蝶EAS系统者优先；",鹭燕,1000-9999人,医疗健康,2024上半年
系统管理员,SMT技术员,4-7K,抚州,1年以内,高中,应用系统管理,"1、1年以上SMT相关工作经验，熟悉贴片、印刷机、SPI操作与维修
2、熟练松下NPM-D3,NPM-TT2的操作及NPM-DGS编程；
3、熟悉SMT回流焊的调试与炉温设定；
4、熟悉SMT工业流程及品质管控。",江西世星科技有限公司,20-99人,电子/半导体/集成电路,2024上半年
系统管理员,中控师5名,10-15K,上海,1-3年,大专,"计算机相关专业
IT系统维护管理经验
网络安全相关经验
运营兼中控，会拍摄剪辑发布短视频。",有经验者优先，我们公司网络销售，需要有经验的中控师。,闪到网络科技,20-99人,电子商务,2024上半年
系统管理员,系统维护专员,4-6K,金华,1年以内,大专,"计算机相关专业
IT系统维护管理经验
软件实施 硬件维护","公司在推行智慧工厂,已采购第三方提供的系统与硬件,招牌系统维护专员
1:维护公司智慧工厂系统（ERP MEG）等流程管理系统 协助各岗位完成系统使用,录入和维护。
2:负责生产系统相关吊挂硬件的维护，生产操作平板的更新与维护
3:培训新员工和相应管理人员合理使用系统，避免操作失误
4:与开发公司沟通 根据生产需求,协助推进系统功能模块的升级 bug处理等
5:具有较强的动手能力 和 智慧工厂/ERP系统的操作应用能力 有基础的数据意识和管理培训能力
6:有软件实施相关经验优先",凯洛琪,100-499人,其他行业,2024上半年
系统管理员,运维专员,5-7K,郑州,经验不限,学历不限,"运行维护
共享电动车
车辆调度","共享电动车运营维护
一、换电调度员
工作区域：龙子湖、祭城、象湖、经开区
岗位职责:
1、监测指定区域内电池状态，给低电量电动车更换电池，及时充电；
2、调运车辆，确保所辖区域车辆的日常正常运作。
4、完成上级交办的其他工作。
工作时间:每日八小时.分早晚班。每半月换班。
早班:8点到中午12点，14点到18点
晚班:20点到04点
薪资：综合薪资5000-8000元，计件制，上不封顶。
前期可保底100元/天。自由选择。
可接受兼职（兼职员工不保底）。
二、巡检员
1、按区域巡查车辆的闲置、摆放及故障情况；
2、负责区域内车辆的户外保养工作，例如对车辆清洁，擦涂润滑油，拧紧刹车等简单操作；
任职资格:
1.30- 50岁、身体健康、无犯罪记录、诚实正直。
2.熟悉掌握智能手机使用方法、独立安装手机APP设置及故障排除。
3.工作主动性强，耐心细致，有责任心，具备团队合作精神。
工作时间:7点到中午12点，14点到17点
薪资：4000-4500元",御风嘉云,0-20人,智能硬件,2024上半年
系统管理员,电脑员,4-5K,东营,经验不限,大专,"计算机相关专业
IT系统维护管理经验","任职要求：熟练操作办公软件、思维反应快
岗位福利：包食宿.五险年终奖
岗位职责：公司系统信息录入、公司网页维护",山东君隆,20-99人,农/林/牧/渔,2024上半年
系统管理员,互联网系统维护,4-5K,莆田,经验不限,中专/中技,计算机相关专业,"岗位职责：
1、及时准确的处理客户反馈的问题
2、负责上下游客户系统对接
3、日常系统维护
4、客户数据分析并统计
岗位要求：
中专及以上学历，年龄：20-35周岁，熟悉运用电脑，会使用Excel、Word办公软件，工作认真负责，责任心强，思维灵活清晰
工作时间及待遇：
时间：8:30-12:00,14:00-18:00
待遇：每周日休息，法定节假日，试用期一个月，试用期薪资为3500",福建泽实,0-20人,计算机服务,2024上半年
系统管理员,计算机硬件维护工程师,5-7K·13薪,福州,经验不限,大专,"计算机相关专业
IT系统维护管理经验
网络安全相关经验","岗位：智能化运维助理
任职要求：
1.大专及以上学历，计算机专业且有3年及以上相关工作经验优先；
2.具有较强的自学能力，能与客户良好沟通；
3.熟悉电脑、电话、打印机、音响设备、电视、电话会议（视频会议系统）操作。
4.能独立安装常用驱动程序，能熟悉处理windows运行时出现的一些常见性错误；
5.熟练使用windows自带的一些辅助软件和Ghost 程序。比如：磁盘扫描程序、碎片整理程序等；
6.具有排除基本硬件故障问题的能力以及对流行的硬盘备份软件做到熟练的操作；
7.持有C1证，熟悉驾驶。
岗位职责：
1.网络设备的管理、维护，并形成相应设备维护文档；
2.办公等硬件设备的安装，配置和运行；
3.处理网络系统、视频会议系统、安防系统等故障排查及修复工作；
4.完成领导交办的其他IT事项；
工作时间：
周一到周五8：30-11：30，14：30-17：30，周末双休（有突发事件需要工作日下班时间或者周末时间加班，需及时到岗）。
工资福利：
1.周末双休，法定节假日正常休假。
2.单位提供食堂。
工作地点：
1.福州市北二环长冠城附近。",众行致远,20-99人,计算机服务,2024上半年
系统管理员,资管员,2-3K,重庆,1-3年,中专/中技,系统管理员,1.信息管理，电脑操作熟练。 2，会CAD 制图,时代御锦,0-20人,互联网,2024上半年
系统管理员,ERP信息管理员,3-7K,眉山,经验不限,大专,"系统运维
实施运维
IT技术支持","岗位职责：
1、全程跟进ERP系统软件的实施与部署；
2、系统建立初期的数据采集，编码审核工作；
3、协调处理各部门遇到的问题以及突发情况；
4、维护调整系统参数设置，软件界面格式等；
5、编写与修定系统岗位操作说明书；
6、产品证书报告管理(扫描PDF档、目录参数登记、分类存放、标识标签、借阅规范等)；
任职要求：
1、大专及以上学历，计算机科学、计算机信息管理相关专业；
2、有相关工作经验条件适当放宽；",厚天科技,100-499人,智能硬件,2024上半年
系统管理员,运维工程师,4-7K,济南,1-3年,大专,"ERP系统管理
网络设备
计算机软件
SQL Server
电商系统管理
Windows系统
OA系统管理
网络系统管理","1、熟悉ERP的具体操作流程，熟悉供应链系统的基本逻辑。
2、了解数据库语言，掌握Oracle/sqlserver等数据库基本操作，了解数据库工具基本操作
3、负责管易、金蝶等ERP的基础资料新增录入工作
4、网络系统的维护、PC电脑软硬件维护、电话程控系统软硬件维护、监控系统软硬件维护
5、有责任心，能够按照公司制定的系统规则处理数据。
6、良好的学习能力，不断的提高自身技术水平",三际电商,500-999人,电子商务,2024上半年
系统管理员,系统管理员,4-8K,东莞,1-3年,大专,"Java
Python
网络交换技术
应用系统管理
网络系统管理",系统网络培训，维护，管理，技术支持,朗日科技,0-20人,计算机软件,2024上半年
系统管理员,网络信息管理员,3-4K,郑州,经验不限,大专,"计算机相关专业
网络安全相关经验",各种网络信息对接，小程序维护,继明康复,0-20人,医疗服务,2024上半年
系统管理员,信息技术助理,4-6K,大同,经验不限,本科,"计算机相关专业
IT系统维护管理经验","【工作内容】
1、参与信息化建设工作，构建安全网络办公环境；
2、开展信息化系统基础数据的收集、整理及上报工作；
3、完善设备运行、检查、维护保养等管理制度；
4、公司信息化软硬件日常运行维护工作，指导、检查和监督设备运行状况；
5、对接软/硬件厂商，日常信息化维护，网络管理，服务器维护，业务软件更新与维护，网站管理与维护。
【岗位要求】
1、计算机相关专业，大学本科及以上学历；
2、具有较强的文字组织和语言表达能力；
3、具有计算机相关工作经验或医院信息化工作经验优先；
4、熟悉Win7、Win10操作系统，了解sever2016服务器操作系统、熟悉系统备份与恢复，熟悉局域网文件和打印机共享；
5、熟悉网络协议，了解常见网络设备的工作原理。",大同黄经世纪国医,500-999人,医疗服务,2024上半年
系统管理员,IT专员,5-6K,珠海,1-3年,大专,"IT系统维护管理经验
大数据运维经验
网络关键词
搜索","系统运营
系统维护
系统运行
系统操作",珠海市香洲区珺潮...,0-20人,电子商务,2024上半年
系统管理员,信息维修员,4-5K,湘潭,3-5年,高中,综合维修,"1、电脑维修维护；
2、信息维护",丝路国贸,100-499人,新零售,2024上半年
系统管理员,ERP专员,5-6K,东莞,1-3年,大专,ERP系统管理,"1.负责日常支持ERP系统运行的服务器软硬件的维护工作
2.负责整个系统的用户、数据信息安全，保证数据的准确
3.配合会计人员工作（出纳、盘点、系统维护）
4.数据信息收集、分配


任职要求：
1、1年以上相关工作经验，大专及以上学历，会计学、计算机相关专业优先
2、工作认真、负责、仔细有较好的沟通能力和解决问题能力
3、熟悉各种常用办公软件
4、意志坚定、思维敏捷、态度温和抗压能力强，有良好团队协作精神，能够长期稳定工作",协汇电子科技,20-99人,物流/仓储,2024上半年
系统管理员,连锁超市信息部主管,6-8K,长沙,1-3年,大专,连锁超市,"岗位职责：
1、系统维护（商品资料录入、进销存管理，系统订单优化、库存管理优化）及员工培训工作；
2、监督门店生鲜盘点工作；
3、总部及门店信息化设备设施采购、报修等；
4、管理门店信息员，协助促销活动价格调整录入等；
任职要求：
1、有连锁超市同岗位工作经验1年以上；
2、沟通、协调能力强；
3、有团队精神，积极乐观；
薪资福利
1、包住（环境好）、提供中晚餐；
2、月休4天，享受法定节假日及节日物资、生日福利；",幸福九五,100-499人,批发/零售,2024上半年
系统管理员,ERP专员,4-5K,芜湖,3-5年,大专,计算机相关专业,"1、ERP日常维护及反馈问题的处理
2、ERP基础数据的录入、完善
3、ERP系统各功能模块实施推进相关培训、流程梳理优化、权限管理等
4、公司安排的其它工作",安徽昌靖,20-99人,汽车零部件,2024上半年
系统管理员,信息专员,3-5K,孝感,经验不限,大专,OA系统管理,"1，负责院内网络系统维护
2，医疗及办公设备日常巡检及维护
3，大专及以上学历，计算及专业",应城爱尔眼科医院,20-99人,医疗服务,2024上半年
系统管理员,沃尔玛奥林匹克广场店城市服务中心招兼职,15-20元/时,大连,经验不限,大专,兼职,"工作周期：长期兼职
每周工期：5天及以上
工作时间：早班、午班
工作时段：不限
结算方式：月结
招聘截止时间：2024-11-06
?	岗位职责：数据录入，沃尔玛内部系统操作、维护和定案
?	要求：年满18周岁，大专及以上学历，对数字敏感，仔细认真，能够熟练操作电脑和使用办公软件，思路清晰，吃苦耐劳。对数字敏感，需至少可工作半年及以上。
工作时间：8:00-12:00，12:00-16:00每天4小时，每周不超24小时，需要周末能上班
薪资：21元/小时，工资半月结算一次",沃尔玛(中国),10000人以上,生活服务（O2O）,2024上半年
系统管理员,信息部经理,5-6K,沧州,1-3年,大专,系统运维,"1.负责公司大数据平台的项目管理，参与应用项目架构，数据架构规范，指导团队落地 ，管理项目进度按照计划顺利完成；
2.负责数据基础架构和数据处理体系的升级和优化，不断提升系统的稳定性和效率，为公司的业务提供大数据底层平台的支持和保证；
3.与用户沟通需求，并提出解决方案；与公司其他部门或其他项目组保持良好协作，确保项目良好运转；
4.培养和建立公司的大数据团队，对团队进行技术指导。",东风养殖,500-999人,农/林/牧/渔,2024上半年
系统管理员,计算机管理员,3-4K,西安,1-3年,大专,"网络系统管理
网络设备","负责学校计算机，服务器，网络设备，办公室软件的故障处理，网络维护管理工作，监控、门禁，打印机等设备维护；
负责学校内部局域网的管理，保证网络及信息化系统正常运转；
学校计算机，打印机等设备的维护；
学校及部门领导交办的其他工作；
性感开朗，积极肯干，有上进心；
有计算机管理经验者优先，薪资面议。
年龄：25-40岁",西安增德学校,0-20人,培训/辅导机构,2024上半年
